ReqId,ReqAddr,RefTraceCycle,ReqBusLatency,RespBusLatency,ReplcLatency,LatencyMinusRepl,TotLatency,WcReqLatency,WcRespLatency,WcReplcLatency,WcLatency,WcLatencyMinsRepl,AverageLatency
951,1011008,8600,7,140,21,126,147,177,144,60,301,301,146
955,1011072,8650,7,120,21,106,127,177,144,60,301,301,146
959,1011136,8700,7,140,21,126,147,177,144,60,301,301,146
963,1011200,8750,7,140,21,126,147,177,144,60,301,301,146
967,1011264,8800,7,140,20,127,147,177,144,60,301,301,146
972,1011328,8850,7,120,0,127,127,177,144,60,301,301,146
978,1011392,8900,7,140,21,126,147,177,144,60,301,301,146
984,1011456,8950,7,120,21,106,127,177,144,60,301,301,146
988,1011520,9000,7,140,20,127,147,177,144,60,301,301,146
992,1011584,9050,7,140,41,106,147,177,144,60,301,301,146
996,1011648,9100,7,140,0,147,147,177,144,60,301,301,146
1000,1011712,9150,7,120,0,127,127,177,144,60,301,301,146
1007,1011776,9200,7,140,21,126,147,177,144,60,301,301,146
1013,1011840,9250,7,140,41,106,147,177,144,60,301,301,146
1017,1011904,9300,7,140,20,127,147,177,144,60,301,301,146
1020,1011968,9350,7,120,21,106,127,177,144,60,301,301,146
1027,1012032,9400,7,140,21,126,147,177,144,60,301,301,146
1031,1012096,9450,7,120,0,127,127,177,144,60,301,301,146
1035,1012160,9500,7,140,0,147,147,177,144,60,301,301,146
1039,1012224,9550,7,120,21,106,127,177,144,60,301,301,146
1044,1012288,9600,7,140,21,126,147,177,144,60,301,301,146
1048,1012352,9650,7,140,41,106,147,177,144,60,301,301,146
1052,1012416,9700,7,140,0,147,147,177,144,60,301,301,146
1056,1012480,9750,7,120,21,106,127,177,144,60,301,301,146
1063,1012544,9800,7,140,21,126,147,177,144,60,301,301,146
1068,1012608,9850,7,140,21,126,147,177,144,60,301,301,146
1072,1012672,9900,7,100,0,107,107,177,144,60,301,301,145
1077,1012736,9950,7,118,41,84,125,177,144,60,301,301,145
1083,1012800,10000,7,140,0,147,147,177,144,60,301,301,145
1086,1012864,10050,7,120,21,106,127,177,144,60,301,301,145
1093,1012928,10100,7,140,0,147,147,177,144,60,301,301,145
1096,1012992,10150,7,120,21,106,127,177,144,60,301,301,145
1101,1013056,10200,7,140,21,126,147,177,144,60,301,301,145
1105,1013120,10250,7,120,20,107,127,177,144,60,301,301,145
1109,1013184,10300,7,140,21,126,147,177,144,60,301,301,145
1114,1013248,10350,7,120,0,127,127,177,144,60,301,301,145
